StartNodeType,StartNode,RelationshipType,EndNode,EndNodeType
['Identity'],17,CONTAINS,DOM,['Keyword']
['Identity'],17,CONTAINS,JSON,['Keyword']
['Identity'],18,CONTAINS,计算机,['Keyword']
['Identity'],18,CONTAINS,前端,['Keyword']
['Identity'],18,CONTAINS,软件,['Keyword']
['Identity'],18,CONTAINS,设计,['Keyword']
['Identity'],18,CONTAINS,沟通,['Keyword']
['Identity'],18,CONTAINS,HTML,['Keyword']
['Identity'],18,CONTAINS,JavaScript,['Keyword']
['Identity'],18,CONTAINS,CSS,['Keyword']
['Identity'],18,CONTAINS,Vue,['Keyword']
['Identity'],18,CONTAINS,维护,['Keyword']
['Identity'],19,CONTAINS,前端,['Keyword']
['Identity'],19,CONTAINS,软件,['Keyword']
['Identity'],19,CONTAINS,实习,['Keyword']
['Identity'],19,CONTAINS,Vue,['Keyword']
['Identity'],20,CONTAINS,项目经验,['Keyword']
['Identity'],20,CONTAINS,沟通,['Keyword']
['Identity'],20,CONTAINS,HTML,['Keyword']
['Identity'],20,CONTAINS,CSS,['Keyword']
['Identity'],21,CONTAINS,小程序,['Keyword']
['Identity'],22,CONTAINS,前端,['Keyword']
['Identity'],22,CONTAINS,接口,['Keyword']
['Identity'],22,CONTAINS,项目经验,['Keyword']
['Identity'],22,CONTAINS,浏览器兼容,['Keyword']
['Identity'],22,CONTAINS,游戏,['Keyword']
['Identity'],22,CONTAINS,设计,['Keyword']
['Identity'],22,CONTAINS,沟通,['Keyword']
['Identity'],22,CONTAINS,HTML,['Keyword']
['Identity'],22,CONTAINS,JavaScript,['Keyword']
['Identity'],22,CONTAINS,CSS,['Keyword']
['Identity'],22,CONTAINS,AJAX,['Keyword']
['Identity'],22,CONTAINS,Bootstrap,['Keyword']
['Identity'],23,CONTAINS,前端,['Keyword']
['Identity'],23,CONTAINS,软件,['Keyword']
['Identity'],24,CONTAINS,软件,['Keyword']
['Identity'],24,CONTAINS,办公软件,['Keyword']
['Identity'],24,CONTAINS,设计,['Keyword']
['Identity'],24,CONTAINS,沟通,['Keyword']
['Identity'],24,CONTAINS,JavaScript,['Keyword']
['Identity'],24,CONTAINS,Vue,['Keyword']
['Identity'],24,CONTAINS,web,['Keyword']
['Identity'],25,CONTAINS,前端,['Keyword']
['Identity'],25,CONTAINS,后端,['Keyword']
['Identity'],25,CONTAINS,移动端,['Keyword']
['Identity'],25,CONTAINS,设计,['Keyword']
['Identity'],25,CONTAINS,HTML,['Keyword']
['Identity'],25,CONTAINS,CSS,['Keyword']
['Identity'],25,CONTAINS,Less,['Keyword']
['Identity'],25,CONTAINS,Vue,['Keyword']
['Identity'],25,CONTAINS,UI,['Keyword']
['Identity'],25,CONTAINS,JSON,['Keyword']
['Identity'],26,CONTAINS,电气自动化,['Keyword']
['Identity'],27,CONTAINS,前端,['Keyword']
['Identity'],27,CONTAINS,HTML,['Keyword']
['Identity'],27,CONTAINS,JavaScript,['Keyword']
['Identity'],27,CONTAINS,CSS,['Keyword']
['Identity'],27,CONTAINS,Vue,['Keyword']
['Identity'],27,CONTAINS,UI,['Keyword']
['Identity'],27,CONTAINS,DOM,['Keyword']
['Identity'],27,CONTAINS,"React, Angular",['Keyword']
['Identity'],28,CONTAINS,计算机,['Keyword']
['Identity'],28,CONTAINS,页面布局,['Keyword']
['Identity'],28,CONTAINS,HTML,['Keyword']
['Identity'],28,CONTAINS,CSS,['Keyword']
['Identity'],29,CONTAINS,前端,['Keyword']
['Identity'],29,CONTAINS,实习,['Keyword']
['Identity'],29,CONTAINS,小程序,['Keyword']
['Identity'],29,CONTAINS,element,['Keyword']
['Identity'],30,CONTAINS,前端,['Keyword']
['Identity'],30,CONTAINS,后端,['Keyword']
['Identity'],30,CONTAINS,软件,['Keyword']
['Identity'],30,CONTAINS,接口,['Keyword']
['Identity'],30,CONTAINS,实习,['Keyword']
['Identity'],30,CONTAINS,浏览器兼容,['Keyword']
['Identity'],30,CONTAINS,设计,['Keyword']
['Identity'],30,CONTAINS,JavaScript,['Keyword']
['Identity'],30,CONTAINS,Vue,['Keyword']
['Identity'],30,CONTAINS,维护,['Keyword']
['Identity'],31,CONTAINS,前端,['Keyword']
['Identity'],31,CONTAINS,数据库,['Keyword']
['Identity'],31,CONTAINS,web,['Keyword']
['Identity'],32,CONTAINS,小程序,['Keyword']
['Identity'],32,CONTAINS,PC,['Keyword']
['Identity'],33,CONTAINS,前端,['Keyword']
['Identity'],33,CONTAINS,HTML,['Keyword']
['Identity'],33,CONTAINS,CSS,['Keyword']
['Identity'],33,CONTAINS,Vue,['Keyword']
['Identity'],34,CONTAINS,计算机,['Keyword']
['Identity'],34,CONTAINS,前端,['Keyword']
['Identity'],34,CONTAINS,后端,['Keyword']
